,isbn,title,author,pub_year,publisher,categories,description,Category,Price,
231,044021145X,The Firm,John Grisham,1992,Bantam Dell Publishing Group,Fiction,"Mitch McDeere, a Harvard Law graduate, becomes suspicious of his Memphis tax firm when mysterious deaths, obsessive office security, and the Chicago Mob figure into its operations. Reprint. Movie tie-in.","Entertainment,Educational",89.32,
232,449212084,Murder at the Kennedy Center (Capital Crime Mysteries),Margaret Truman,1990,Fawcett Books,Fiction,"At an election eve gala, a woman is found dead, and one of the presidential candidates and his mysterious family members prove their propensity for murder","Entertainment,Spiritual",90.56,
233,553582682,"Guinness World Records 2000 (Guinness Book of Records, 2000)",Nic Kynaston,2000,Bantam Books,Curiosities and wonders,"A collection of over 10,000 records covering every field of human and non-human endeavor.","Entertainment,Educational,Spiritual",91.80,
234,843136685,Sheldon &amp; Mrs. Levine: An Excruciating Correspondence,Sam Bobrick,1994,Price Stern Sloan,Humor,"In a parody of the best-selling Griffin &amp; Sabine, an angst-ridden young man and his eccentric, meddlesome mother trade blows over his latest infatuation in a series of hilarious letters. 75,000 first printing.","Educational,Spiritual",93.04,
235,553210092,The Scarlet Letter,NATHANIEL HAWTHORNE,1965,Bantam,,,"Spiritual,Entertainment",94.27,
236,553258524,Dragonsong (Harper Hall Trilogy),Anne McCaffrey,1977,Bantam,,,Entertainment,95.51,
237,055358099X,Cloud Nine,Luanne Rice,2000,Bantam Books,Fiction,"Having reopened her bedding shop, Cloud Nine, after recovering from a serious illness, Sarah Talbot rediscovers love when she meets former navy pilot Will Burke aboard a chartered flight while observing the autumn leaves of upstate New York. Reprint.",Educational,96.75,
238,316168815,The Lovely Bones,Alice Sebold,2004,Back Bay Books,Fiction,"When we first meet 14-year-old Susie Salmon, she is already in heaven. This was before milk carton photos and public service announcements, she tells us; back in 1973, when Susie mysteriously disappeared, people still believed these things didn't happen. In the sweet, untroubled voice of a precocious teenage girl, Susie relates the awful events of her death and her own adjustment to the strange new place she finds herself. It looks a lot like her school playground, with the good kind of swing sets. With love, longing, and a growing understanding, Susie watches her family as they cope with their grief, her father embarks on a search for the killer, her sister undertakes a feat of amazing daring, her little brother builds a fort in her honor and begin the difficult process of healing. In the hands of a brilliant novelist, this story of seemingly unbearable tragedy is transformed into a suspenseful and touching story about family, memory, love, heaven, and living.",Spiritual,97.99,
239,014023828X,The Tortilla Curtain,T. Coraghessan Boyle,1996,Penguin Books,Fiction,"The lives of two different couples--wealthy Los Angeles liberals Delaney and Kyra Mossbacher, and Candido and America Rincon, a pair of Mexican illegals--suddenly collide, in a story that unfolds from the shifting viewpoints of the various characters","Entertainment,Educational",99.23,
240,345424719,A Widow for One Year,JOHN IRVING,1999,Ballantine Books,Fiction,"Chronicles the life of a complex, abrasive woman born in the shadow of her siblings' deaths and her parents' adultery, who only finds love after motherhood and widowhood","Entertainment,Spiritual",100.46,
241,375726403,Empire Falls,Richard Russo,2002,Vintage Books USA,Fiction,"Miles Roby tries to hold his family together while working at the Empire Grill in the once-successful logging town of Empire Falls while dealing with the imperious Mrs. Whiting, the heir to a faded logging and textile legacy, in this evocative novel by the author of Nobody's Fool. Reader's Guide available. Reprint. 150,000 first printing.","Entertainment,Educational,Spiritual",101.70,
242,385503857,Oryx and Crake,Margaret Atwood,2003,Nan A. Talese,Genetic engineering,A novel of the future explores a world that has been devastated by ecological and scientific disasters.,"Educational,Spiritual",102.94,
243,425156842,Sophie's World: A Novel About the History of Philosophy (Berkeley Signature Edition),Jostein Gaarder,1997,Berkley Publishing Group,Fiction,"A novel about the history of philosophy chronicles the story of a teenaged girl who discovers a mysterious letter in her mailbox and embarks on a journey of philosophical discovery, taking her from Socrates to Sartre and beyond. Reprint.","Spiritual,Entertainment",104.18,
244,440226104,Black and Blue,ANNA QUINDLEN,1999,Dell,Fiction,"The Pulitzer Prize-winning New York Times columnist presents her third novel, which traces the dissolution of a passionate marriage into a violent nightmare, forcing Fran Benedetto and her ten-year-old son Bobby to start a new life, with a new identity. Reprint.",Entertainment,105.42,
245,452277337,Le Divorce (William Abrahams Book),Diane Johnson,1997,Plume Books,Fiction,"When Roxanne Walker de Persand's husband leaves her pregnant and alone, she turns for help to her sister, Isabel, but the de Persand family subtly governs her choice for divorce, especially since she has a painting worth millions in her possession. Reprint.",Educational,106.65,
246,553802488,The Face,DEAN KOONTZ,2003,Bantam,Fiction,"When a Hollywood star becomes the target of a twisted killer, ex-cop Ethan Truman confronts the secrets of his tragic past and premonitions of his own impending violent death as he struggles to solve the macabre riddles of a killer.",Spiritual,107.89,
247,671021001,She's Come Undone (Oprah's Book Club),Wally Lamb,1998,Pocket,Fiction,"In this extraordinary coming-of-age odyssey, Wally Lamb invites us to hitch a wild ride on a journey of love, pain, and renewal with the most heartbreakingly comical heroine to come along in years. Meet Dolores Price. She's 13, wise-mouthed but wounded, having bid her childhood goodbye. Stranded in front of her bedroom TV, she spends the next few years nourishing herself with the Mallomars, potato chips, and Pepsi her anxious mother supplies. When she finally orbits into young womanhood at 257 pounds, Dolores is no stronger and life is no kinder. But this time she's determined to rise to the occasion and give herself one more chance before she really goes under.","Entertainment,Educational",109.13,
248,767903579,Falling Leaves: The True Story of an Unwanted Chinese Daughter,Adeline Yen Mah,1999,Broadway Books,Biography &amp; Autobiography,The daughter of a wealthy Hong Kong businessman describes her very difficult childhood and the psychological abuse she suffered at the hands of her stepmother,"Entertainment,Spiritual",110.37,
249,805063897,Nickel and Dimed: On (Not) Getting By in America,Barbara Ehrenreich,2002,Owl Books,Business &amp; Economics,"The sharp social critic and author of Blood Rites looks underneath the illusion of American prosperity at poverty and hopelessness in America. Reprint. 100,000 first printing.","Entertainment,Educational,Spiritual",111.61,
250,679777431,"The Game of Kings (Lymond Chronicles, 1)",DOROTHY DUNNETT,1997,Vintage,Fiction,"In 1547, as the Scots prepare for war against England, a ship arrives from Campvere with an illicit cargo and Francis Crawford of Lymond, a dangerous nobleman, accused of treason and hunted by friend and foe alike, who leads a company of outlaws in his struggle to redeem his reputation. Reprint. 20,000 first printing.","Educational,Spiritual",112.85,
251,553285343,"RUSSIA HOUSE, THE",JOHN LE CARRE,1990,Bantam,Fiction,World powers clash for dominance as a beautiful Russian woman carries out a staggering mission and a derelict English publisher becomes the unlikely recipient of the Soviet Union's top defense secret,"Spiritual,Entertainment",114.08,
252,671002481,The First Wives Club Movie Tie In,Olivia Goldsmith,1996,Pocket,,,Entertainment,115.32,
253,679733825,Sisters of the Earth: Women's Prose and Poetry About Nature,Lorraine Anderson,1991,Vintage Books USA,American literature,"This book introduces us to female perspectives on nature. Over 90 selections, from Emily Dickinson to Alice Walker, span a century and encompass the voices of a variety of women--some known for their writing on nature, and several outstanding new voices",Educational,116.56,
254,842329129,Left Behind: A Novel of the Earth's Last Days (Left Behind No. 1),Tim Lahaye,1996,Tyndale House Publishers,Fiction,"After millions of people around the world vanish in one moment, in what many claim to be the Rapture, Rayford Steele begins a search for the truth amidst global chaos",Spiritual,117.80,
255,345451260,Househusband,AD HUDLER,2002,Ballantine Books,Fiction,"When his wife is offered her dream job, Linc Menner leaves his thriving landscape business in Los Angeles to move to Rochester, New York, and to take charge of the household, but he soon finds himself frustrated and bored, missing his wife who is working all hours and never has time for him anymore. A first novel.","Entertainment,Educational",119.04,
256,380973545,Letters from a Nut,Ted L. Nancy,1999,William Morrow,,,"Entertainment,Spiritual",120.27,
257,743424425,The Shining,Stephen King,2001,Pocket,Fiction,"Jack Torrance sees his stint as winter caretaker of a Colorado hotel as a way back from failure, his wife sees it as a chance to preserve their family, and their five-year-old son sees the evil waiting just for them, as they journey into a world in which old horrors come to life to destroy the living. Reissue.","Entertainment,Educational,Spiritual",121.51,
258,786868015,The Diary of Ellen Rimbauer: My Life at Rose Red,Joyce Reardon,2001,Hyperion,Fiction,"At the turn of the century, young bride Ellen Rimbauer begins to keep a journal that describes her marriage to Seattle industrialist John Rimbauer, her confusions and fear over her new life and emerging sexuality, and the nightmare living in the Rimbauer mansion, Rose Red, a site that would become the scene of many horrific and inexplicable tragedies. 150,000 first printing.","Educational,Spiritual",122.75,
259,446610178,The Sky Is Falling,Sidney Sheldon,2001,Warner Books,Fiction,"The Winthrops are America's royal family, and its Prince Charming is the sexy, charismatic Gary Winthrop. Now the man on his way to becoming the Senate's brightest new star is found murdered in his home-the latest in a series of incidents that have killed five members of the family in a single year. One of the last people to see Gary Winthrop alive is Washington anchorwoman Dana Evans. She makes it her mission to investigate these seemingly random tragedies, little realizing that her search will sweep her across several continents, place her and her young son in grave danger, and lead her to a truth that will astound the world.","Spiritual,Entertainment",123.99,
260,743229878,Mount Vernon Love Story : A Novel of George and Martha Washington,Mary Higgins Clark,2002,Simon &amp; Schuster,Fiction,"Follows the story of George Washington from the time he steps down from the presidency to return with Martha to his beloved Mount Vernon home, a period during which the couple shares a renewal of feelings from the early years of their marriage.",Entertainment,125.23,
261,380732335,Florida Road Kill: A Novel,Tim Dorsey,2000,HarperTorch,Fiction,"Local trivia buff Serge loves inflicting pain. Drug-addled Coleman, his partner in crime, loves cartoons. Hot stripper Sharon Rhodes loves cocaine, especially when purchased with righ dead men's money. Then there's Sean and David, who love fishing--and helping turtles cross busy thoroughfares. Unfortunately, they're about to cross paths with a suitcase filled with $5 million in stolen money. Serge wants the suitcase. Sharon wants the suitcase. Coleman wants more drugs...and the suitcase. A hitman wants Satan to reign supreme. A slimy, insurance-frauding dentist wants his fingers back. In the meantime, there's murder by gun, Space Shuttle, Barbie doll, and Levi's 501s. Welcome to Florida!",Educational,126.46,
262,385337132,The 37th Hour,JODI COMPTON,2003,Delacorte Press,Fiction,"A detective specializing in missing persons cases, Sarah Pribek becomes involved in a case that hits all too close to home, the mysterious disappearance of her own husband, a fellow police officer. A first novel. 150,000 first printing.",Spiritual,127.70,
263,440235057,Be Cool,Elmore Leonard,2000,Dell Publishing Company,Fiction,"Chili Palmer plunges into the seediest, most dangerous corners of Hollywood's music business","Entertainment,Educational",128.94,
264,60915544,The Bean Trees,Barbara Kingsolver,1989,Perennial,Fiction,"Clear-eyed and spirited, Taylor Greer grew up poor in rural Kentucky with the goals of avoiding pregnancy and getting away. But when she heads west with high hopes and a barely functional car, she meets the human condition head-on. By the time Taylor arrives in Tucson, Arizona, she has acquired a completely unexpected child, a three-year-old American Indian girl named Turtle, and must somehow come to terms with both motherhood and the necessity for putting down roots. Hers is a story about love and friendship, abandonment and belonging, and the discovery of surprising resources in apparently empty places. Available for the first time in mass-market, this edition of Barbara Kingsolver's bestselling novel, The Bean Trees, will be in stores everywhere in September. With two different but equally handsome covers, this book is a fine addition to your Kingsolver library.","Entertainment,Spiritual",130.18,
265,60917016,Homeland and Other Stories,Barbara Kingsolver,1990,Perennial,Fiction,"With the same wit and sensitivity that have come to characterize her highly praised and beloved novels Animal Dreams and The Bean Trees, Barbara Kingsolver gives us a rich and emotionally resonant collection of twelve stories. Spreading her memorable characters over landscapes ranging from northern-California to the hills of eastern Kentucky and the Caribbean island of St. Lucia, Kingsolver tells stories of hope, momentary joy, and powerful endurance. In every setting, Kingsolver's distinctive voice -- at times comic, but often heartrending -- rings true as she explores the twin themes of family ties and the life choices one must ultimately make alone. Homeland and Other Stories creates a world of love and possibility that readers will want to take as their own.","Entertainment,Educational,Spiritual",131.42,
266,60925000,"A Suitable Boy : Novel, A",Vikram Seth,1994,Perennial,Fiction,"While a widowed mother agonizes over her daughter's future, the newly independent India of the early 1950s struggles through a time of great crisis when its varied cultures clash",Entertainment,132.65,
267,60932759,Daughter of Fortune,Isabel Allende,2000,Perennial,Fiction,"An Orphan raised in Valparaiso, Chile, by a Victorian spinster and her rigid brother, young, vivacious Eliza Sommers follows her lover to California during the Gold Rush of 1849. She enters a rough-and-tumble world whose newly arrived inhabitants are driven mad by gold with the help of her good friend and savior, the Chinese doctor Tao Chien-California opens the door to a new life of freedom and independence for the young Chilean. Her search for the elusive lover gradually turns into another kind of journey, and by the time she finally hears news of him, Eliza must decide who her true love really is.",Educational,133.89,
268,61000280,The Fly on the Wall,Tony Hillerman,1990,HarperTorch,Fiction,"Ace reporter John Cotton is a fly on the wall -- seeing all, hearing all, and keeping out of sight. But the game changes when he finds his best friend's corpse sprawled on the marble floor of the central rotunda of the U.S. Capitol. Suddenly Cotton knows too much about a scandal centered around a senatorial candidate, a million-dollar scam, and a murder. And he hears the pursuing footsteps of powerful people who have something to hide ... and a willingness to kill to keep their secrets hidden.",Spiritual,135.13,
269,312195516,The Red Tent (Bestselling Backlist),Anita Diamant,1998,Picador USA,Fiction,"In a story based on the Book of Genesis, Jacob's only daughter, Dinah, shares her unique perspective on the origins of many of our modern religious practices and sexual politics, eager to impart the lessons in endurance and humanity she has learned from her father's wives. Reprint. 25,000 first printing.","Entertainment,Educational",136.37,
270,380792664,The Right Hand of Amon,Lauren Haney,1997,Avon,Fiction,"The commander of the Medjay police in the city of Buhen during the 1464 B.C. reign of the Egyptian pharaoh Hatshepsut, Lieutenant Bak accompanies an idol of the god Amon on its journey up the Nile and must solve the murder of a soldier. Original.","Entertainment,Spiritual",137.61,
271,399137807,The Cat Who Wasn't There,Lilian Jackson Braun,1992,Putnam Pub Group,Fiction,"Persuaded to join a tour of Scotland, Jim Qwilleran finds his enjoyment of the trip threatened when a jewel thief swipes a suitcase, the bus driver vanishes, a fellow tourist is found dead, and Polly is tailed by the Pickax Prowler. 100,000 first printing. $65,000 ad/promo. Lit Guild &amp; Doubleday Alt. Mystery Guild Main.","Entertainment,Educational,Spiritual",138.85,
272,039914739X,Isle of Dogs,Patricia Daniels Cornwell,2001,Putnam Publishing Group,Fiction,"Angered over the governor's order on speed traps, the eccentric inhabitants of the Isle of Tangier, off the coast of Virginia, declare war on their own state, and it is up to Judy Hammer, the new superintendent of the state police, to stop the crisis.","Educational,Spiritual",140.08,
273,451203046,Light a Penny Candle,Maeve Binchy,2001,Signet Book,Family &amp; Relationships,"The chaotic events of World War II force Elizabeth White, a shy, young English girl, to escape to Ireland, where she shares a friendship with Aisling O'Connor, with whom she endures years of change, joy, sorrow, soaring dreams, bitter betrayals, and an unbreakable bond. Reissue.","Spiritual,Entertainment",141.32,
274,451410556,The Blue Last: A Richard Jury Mystery (Richard Jury Mysteries (Paperback)),Martha Grimes,2002,Onyx Books,,,Entertainment,142.56,
275,486281965,The Country of the Pointed Firs (Dover Thrift Editions),Sarah Orne Jewett,1994,Dover Publications,Fiction,"A classic of American fiction, memorializing the traditions, manners and dialect of Maine coast natives at the turn of the 20th century. In luminous evocations of their lives, Maine-born Jewett created startlingly real portraits of individual New Englanders, and a warm, humorous, and compassionate vision of New England character.",Educational,143.80,
276,081296666X,Things My Girlfriend and I Have Argued About: A Novel,Mil Millington,2003,Villard Books,Fiction,"Pel finds his ordinary life and his relationship with his girlfriend, Ursula, turned upside down by his boss's disappearance, leaving Pel to take over amid a chaotic web of stolen money, missing colleagues, and Chinese mafiosi.",Spiritual,145.04,
277,312278586,The Nanny Diaries: A Novel,Emma McLaughlin,2002,St. Martin's Press,Fiction,"Wanted: One young woman to take care of four-year-old boy. Must be cheerful, enthusiastic and selfless-bordering on masochistic Must relish sixteen-hour shifts with a deliberately nap-deprived pre-schooler Must love getting thrown up on, literally and figuratively, by everyone in his family Must enjoy the delicious anticipation of ridiculously erratic pay Mostly, must love being treated like fungus found growing out of employers Hermes bag. Those who take it personally need not apply. Who wouldn't want this job? Struggling to graduate from NYU and afford her microscopic studio apartment, Nanny takes a position caring for the only son of the wealthy X family. She rapidly learns the insane amount of juggling involved to ensure that a Park Avenue wife who doesn't work, cook, clean, or raise her own child has a smooth day. When the Xs marriage begins to disintegrate, Nanny ends up involved way beyond the bounds of human decency or good taste. Her tenure with the X family becomes a nearly impossible mission to maintain the mental health of their four-year-old, her own integrity and, most importantly, her sense of humor. Over nine tense months Mrs. X and Nanny perform the age-old dance of decorum and power as they test the limits of modern-day servitude. The Nanny Diaries deftly skewers the manner in which America's over-privileged raise les petites over-privileged-as if grooming them for a Best in Show competition. Written by two former nannies, this alternately comic and poignant satire punctures the glamour of Manhattan's upper class.","Entertainment,Educational",146.27,
278,312288115,Confessions of a Sociopathic Social Climber : The Katya Livingston Chronicles (Katya Livingston Chronicles (Hardcover)),Adele Lang,2002,Thomas Dunne Books,Fiction,"Keeping a financial diary after her work-related tax claims are questioned, Katya also documents the parsimonious ways of her cruel boss, her suffering at the hands of enemies and bad restaurants, and the challenges of her love life, just in case any of it is tax deductible. 10,000 first printing.","Entertainment,Spiritual",147.51,
279,380710218,Postmortem,Patricia Daniels Cornwell,1993,Harper Mass Market Paperbacks (Mm),,,"Entertainment,Educational,Spiritual",148.75,
280,515118656,The Cove,Catherine Coulter,1996,Jove Books,Fiction,"Sally Brainerd, daughter of the murdered Amory St. John, flees Washington, D.C., to seek sanctuary in the quaint little town called The Cove, pursued by undercover FBI agent James Quinlan, who believes that Sally holds the key to solving her father's murder. Original.","Educational,Spiritual",149.99,
281,553289063,An Inconvenient Woman,Dominick Dunne,1991,Bantam Books,,,"Spiritual,Entertainment",151.23,
282,671000306,Shock Wave (Dirk Pitt Adventures (Paperback)),Clive Cussler,1996,Pocket,Fiction,"In the wake of a mysterious disaster that kills thousands of marine animals and nearly two hundred cruise ship passengers, Dirk Pitt rescues Maeve Fletcher and traces the incident to her father and sisters. Reprint.",Entertainment,152.46,
283,671673688,While My Pretty One Sleeps,Mary Higgins Clark,1990,Pocket,Fiction,"Neeve Kearny may be the only person in New York worried about the disappearance of Ethel Lambston. Ethel, a bestselling author famous for her juicy exposés, is one of the best customers at Neeve's exclusive Madison Avenue boutique. But Ethel's ex-husband, her parasitical nephew, and the fashion moguls skewered in her latest article all have reason to be glad she's no longer around. When Ethel Lambston is found with her throat cut, Neeve's memories of her mother's long-unsolved murder loom up once again. Now as an innocent witness in the Lambston investigation, Neeve is drawn into a new nightmare...a sinister labyrinth of greed and ambition that will lead her into mortal danger... A stunning tale of murder, glamour and romance, While My Pretty One Sleeps is the most exciting novel yet from Mary Higgins Clark, America's undisputed master of suspense.",Educational,153.70,
284,618173870,Everything Is Illuminated: A Novel,Jonathan Safran Foer,2002,Houghton Mifflin Company,Fiction,"Hilarious, energetic, and profoundly touching, a debut novel follows a young writer as he travels to the farmlands of eastern Europe, where he embarks on a quest to find Augustine, the woman who saved his grandfather from the Nazis, and, guided by his young Ukrainian translator, he discovers an unexpected past that will resonate far into the future. Excerpt in The New Yorker.",Spiritual,154.94,
285,156027321,Life of Pi,Yann Martel,2003,Harvest Books,,,"Entertainment,Educational",156.18,
286,385721420,Three Junes,JULIA GLASS,2003,Anchor,Fiction,This strong and memorable debut novel draws the reader deeply into the lives of several central characters during three separate Junes spanning ten years.,"Entertainment,Spiritual",157.42,
287,451202341,Back Roads,Tawni O'Dell,2001,Signet Book,Fiction,"With his mother in jail for killing his abusive father, nineteen-year-old Harley Altmyer is saddled with raising his three younger sisters, working two jobs to pay the bills, and an overactive libido that will not let him rest. Reprint.","Entertainment,Educational,Spiritual",158.65,
288,743418190,In Her Shoes : A Novel,Jennifer Weiner,2002,Atria Books,Fiction,"Meet Rose Feller. She's thirty years old and a high-powered attorney with a secret passion for romance novels. She has an exercise regime she's going to start next week, and she dreams of a man who will slide off her glasses, gaze into her eyes, and tell her that she's beautiful. She also dreams of getting her fantastically screwed-up little sister to get her life together. Meet Rose's sister, Maggie. Twenty-eight years old, drop-dead gorgeous and only occasionally employed, Maggie sings backup in a band called Whiskered Biscuit. Although her dreams of big-screen stardom haven't progressed past her left hip's appearance in a Will Smith video, Maggie dreams of fame and fortune -- and of getting her dowdy big sister to stick to a skin-care regime. These two women with nothing in common but a childhood tragedy, shared DNA, and the same size feet, are about to learn that their family is more different than they ever imagined, and that they're more alike than they'd ever believe. In Her Shoes -- Jennifer Weiner's follow-up to her critically acclaimed debut, Good in Bed -- observes Rose and Maggie, the brain and the beauty, as they make journeys of discovery that take them from the streets of Philadelphia to Ivy League libraries to a ""retirement community for active seniors"" in Boca Raton. Along the way, they'll encounter a wild cast of characters -- from a stepmother who's into recreational Botox to a small, disdainful pug with no name. They'll borrow shoes and clothes and boyfriends, and make peace with their most intimate enemies -- each other. Funny and poignant, richly detailed and wrenchingly real, In Her Shoes will speak to anyone who has endured the bonds of big -- or little -- sisterhood, or longed for a life different from the one the world has dictated, and dreamed of trying something else on for size.","Educational,Spiritual",159.89,
289,385335407,The Kiss,Danielle Steel,2001,Delacorte Press,Fiction,"Trapped in a loveless marriage, Frenchwoman Isabelle cares for her daughter and dangerously ill son while pursuing a secret friendship with American power broker Bill Robinson, until a car accident tests their growing love. 1,000,000 first printing.","Spiritual,Entertainment",161.13,
290,60923245,Sweet Hereafter Movie Tie-In : A Novel,Russell Banks,1992,Perennial,,,Entertainment,162.37,
291,486272664,The Rime of the Ancient Mariner and Other Poems,Samuel Taylor Coleridge,1992,Dover Publications,,,Educational,163.61,
292,60913509,In Country RI,Bobbie Ann Mason,1986,Perennial,,,Spiritual,164.85,
293,553272837,Brazen Virtue,Nora Roberts,1996,Bantam Books,Fiction,An irresistible police detective and an eccentric mystery writer struggle to separate business from pleasure while pursuing a deranged murderer,"Entertainment,Educational",166.08,
294,440225078,Ghost Moon,Karen Robards,2001,Dell Publishing Company,Fiction,"Ten years after her elopement with a cowboy, Olivia Morrison returns to the Louisiana estate of her wealthy stepfather as a prodigal daughter, with an eight-year-old daughter in tow, uncertain of her reception, only to come face to face with her hostile family, her devastatingly attractive step-cousin Seth, and dark secrets concerning her mother's death. Reprint.","Entertainment,Spiritual",167.32,
295,425181111,Strangers,Dean R. Koontz,2002,Berkley Publishing Group,Fiction,"A group of seemingly unrelated people experiences sensations of numbing terror and fear and, groping their way toward one another, discover their sinister, shared secrets in a chilling climax that changes their lives forever. Reissue.","Entertainment,Educational,Spiritual",168.56,
296,380732688,Milk and Honey (Peter Decker/Rina Lazarus Novels),Faye Kellerman,2002,Avon,Fiction,"In the silent pre-dawn city hours -- alone with his thoughts about Rina Lazarus, the woman he loves, three thousand miles away in New York -- LAPD detective Peter Decker finds a small child, abandoned and covered in blood that is not hers. It is a sobering discovery, and a perplexing one, for nobody in the development where she was found steps forward to claim the little girl. Obsessed more deeply by this case than he imagined possible, Decker is determined to follow the scant clues to an answer. But his trail is leading him to a killing ground where four bodies lie still and lifeless. And by the time Rina returns, Peter Decker is already held fast in a sticky mass of hatred, passion, and murder -- in a world where intense sweetness is accompanied by a deadly sting.","Educational,Spiritual",169.80,
297,140286276,The Deep End of the Ocean (Oprah's Book Club),Jacquelyn Mitchard,1999,Penguin Books,Fiction,"The disappearance of her three-year-old son Ben threatens to drive a wedge between Beth Cappadora and her husband, Pat, and transforms her older son into a troubled delinquent, until one day nine years later when Ben comes back into their lives","Spiritual,Entertainment",171.04,
298,373484100,Night Tales,Nora Roberts,2000,Silhouette,Fiction,"Night Tales by Nora Roberts released on Aug 25, 2000 is available now for purchase.",Entertainment,172.27,
299,449907481,A Thousand Acres (Ballantine Reader's Circle),JANE SMILEY,1992,Ballantine Books,,,Educational,173.51,
300,553107305,Chopping Spree,DIANE MOTT DAVIDSON,2002,Bantam,,,Spiritual,174.75,
301,080213825X,Four Blondes,Candace Bushnell,2001,Grove Press,Fiction,"Four very different women endure romantic intrigues, betrayals, liaisons, and victories as they seek love amid the playgrounds of the rich and powerful.","Entertainment,Educational",175.99,
302,515127833,River's End,Nora Roberts,2003,Jove Books,Fiction,"A young woman confronts the horrifying events of her childhood, an infamous crime that destroyed her family, with the help of the son of the police officer who had aided her many years ago, unless the old evil finds her first. Reprint.","Entertainment,Spiritual",177.23,
303,345441133,Summer Island,KRISTIN HANNAH,2002,Ballantine Books,Fiction,"Struggling comedienne Ruby Bridge confronts the legacy of her mother's abandonment while a secret from the past of Nora Bridge, now a syndicated columnist known for her moral advice, draws the two women together.","Entertainment,Educational,Spiritual",178.46,
304,515134279,The Straw Men,Michael Marshall,2002,Jove Books,Fiction,"One person wades though a seemingly unconnected series of events--a methodical mass killing in Pennsylvania, a missing girl in California, and the possible death of a couple in Montana--on the way to a confrontation with the Straw Men.",Entertainment,179.70,
305,385490992,The Street Lawyer,John Grisham,1998,Doubleday Books,,,Educational,180.94,
306,385424728,The Chamber,John Grisham,1994,Doubleday Books,Fiction,"Twenty-two years after the bombing of a Mississippi law office in which Marvin Kramer's two sons died, Klan member Sam Cayhill, the accused killer, has nearly exhausted his death row appeals, until young lawyer Adam Hall takes the case. 1,750,000 first printing. $500,000 ad/promo.",Spiritual,182.18,
307,312980388,Warlock : A Novel of Ancient Egypt,Wilbur Smith,2002,St. Martin's Paperbacks,Fiction,"After the death of his beloved Queen Lostris, Taita heads to the harsh deserts of North Africa to devote himself to a study of the occult, to become a warlock, and to fulfill his destiny to protect the dynasty of Lostris from the evil that threatens ancient Egypt. Reprint.","Entertainment,Educational",183.42,
308,385472951,The Partner,John Grisham,1997,Doubleday Books,Fiction,"The best-selling author of The Runaway Jury, The Pelican Brief, and A Time to Kill explores the dark and dangerous depths of America's legal system in a new thriller. 2,500,000 first printing.","Entertainment,Spiritual",184.65,
309,451195663,Primal Scream,Michael Slade,1998,Signet Book,Fiction,"Inspector Robert DeClercq and his Special X Team pursue the Headhunter, a psychopath who leaves a trial of headless bodies in his wake, while trying to save young Katt from the crazy kidnapper and killer. Original.","Entertainment,Educational,Spiritual",185.89,
310,425182878,Chosen Prey,John Sandford,2004,Berkley Publishing Group,,,"Educational,Spiritual",187.13,
311,553564528,Guilty as Sin,TAMI HOAG,1997,Bantam,Fiction,"As prosecutor Ellen North prepares to try the man arrested for the abduction of little Josh Kirkwood in the small hamlet of Deer Lake, Minnesota, she confronts the sensation-driven news media, an old lover who has become a defense attorney, an unwanted partner, and, suddenly, a second kidnapping. Reissue.","Spiritual,Entertainment",188.37,
312,055356451X,Night Sins,TAMI HOAG,1995,Bantam,Fiction,"A young boy disappears without a trace save for a cruel, taunting note, and the case goes to an untested but tough-minded investigator and a local cop, who wonder if it is the work of a returned serial killer. Reissue.",Entertainment,189.61,
313,743412621,The Second Time Around : A Novel,Mary Higgins Clark,2004,Pocket,,,Educational,190.85,
314,20442408,Prince Caspian,C. S. Lewis,1970,MacMillan Publishing Company.,Juvenile Fiction,Fantasy.,Spiritual,192.08,
315,042517736X,Abduction,Robin Cook,2000,Berkley Publishing Group,Fiction,A mysterious transmission from the depths of the Atlantic Ocean sends a team of oceanographers and divers on a perilous quest in search of a discovery that could transform modern science and the future of humankind. Original.,"Entertainment,Educational",193.32,
316,671868713,And Never Let Her Go : Thomas Capano: The Deadly Seducer,Ann Rule,2000,Pocket,True Crime,"The shattering crime story that shocked the nation: the Thomas Capano murder case On a June evening in 1996, 30-year-old Anne Marie Fahey, secretary to the governor of Delaware, vanished without a trace following a restaurant rendezvous with her secret lover of more than two years: Thomas Capano. One of Wilmington's most prominent and respected figures, a millionaire attorney and former state prosecutor, ""Tommy"" was a charming, softspoken family man. But in the weeks and months that followed Fahey's disappearance, investigators would gradually uncover the shocking truth: Capano was a steely manipulator driven by power and greed -- and capable of brutal murder. In a riveting narrative expertly documented by probing interviews, diary entries, and e-mail correspondence, and with superb insight into the twisted motivations of a killer, Ann Rule chronicles a real-life drama of Shakespearian proportions: ambitions fall, love turns to obsession, family names are tainted, the façade of success crumbles -- and a beautiful but vulnerable young woman pays the ultimate price in a convoluted and deadly relationship.","Entertainment,Spiritual",194.56,
317,345313860,"The Vampire Lestat (Vampire Chronicles, Book II)",ANNE RICE,1986,Ballantine Books,Fiction,"Lestat has risen from his long sleep as a modern day rock star, and makes public his story of boyhood in eighteenth-century France and initiation into vampiredom in order to solve the mystery of his existence","Entertainment,Educational,Spiritual",195.80,
